Ref.No,OfferType,ExchangeType,Deadline,Comment,Employer,Department,Street1,Street2,PostBox,PostalCode,City,State,Country,Website,Workplace,Business,Responsible,Airport,Transport,Employees,HoursWeekly,HoursDaily,Canteen,GeneralDisciplines,FieldsOfStudy,TrainingRequired,OtherRequirements,Workkind,WeeksMin,WeeksMax,From,To,WorkType_R,WorkType_O,WorkType_F,WorkType_None,Language1,Language1Level,Language1Or,Language2,Language2Level,Language2Or,Language3,Language3Level,Currency,Payment,PaymentFrequency,Deduction,Lodging,LodgingCost,LodgingCostFrequency,LivingCost,LivingCostFrequency,NoHardCopies,Faculty 1,Period2_From,Period2_To,Holidays_From,Holidays_To,Additional_Info,PublishedTo,DatePublished,Last modified,CompletedYearsOfStudy,RequiredKnowledgeAndExperiences,PaymentFrequency,ExpectedTypeOfAccommonation,GeneralDisciplinesText,FieldsOfStudyText
BR-2022-194-RUF,REMOTE,FCFS,2022-02-18,,UFOP - Universidade Federal de Ouro Preto,,,,,,Ouro Preto,,Brazil,http://,remote,,Sulamita Fonseca Lino,,,500,30,6,No,,04.0201,,,"The student will participate of the academic research Nomadic Architecture, which will start in 2022. The work will be, bibliographical revision, data systematization and participation in discussion groups. The objective of that research is to compare the production processes of nomadic architecture in the world with the architecture constructions of semi-nomad peoples in Brazil.",4,12,2022-09-01,2022-11-30,Yes,No,No,,English,"Good (B1, B2)",,,,,,,BRL,0,Monthly,0,0,0,Monthly,0,Monthly,,"04-ARCHITECTURE, OTHER",,,,,,,2022-02-01 11:28:52,2022-02-01 11:28:53,2,"Knowledge of Adobe Photoshop, Adobe Illustrator or in a similar software.",0,remote,"04-ARCHITECTURE, OTHER",04.0201-Architecture.
BR-2022-931-EMP,OPEN,COBE,2022-02-11,,Itaipu Binacional,Energy,6731 Avenida Tancredo Neves,,,85866-900,Foz do Iguaçu,,Brazil,,Foz do Iguaçu - PR,Engineering,Mario Augusto Caetano dos Santos,Foz do Iguaçu,,300,40,8,Yes,,14.1001;14.4801,,," - Follow practical maintenance activities in power substations;

- Support to develop technical procedures, maintenance/safety instructions;

- Support to prepare technical specifications (acquisition of the new equipment);

- Review of the drawings (high voltage equipment and installation projects);

- Analysis of the maintenance data to asset management;

- Analysis of the monitoring system data for diagnostic purposes.",26,52,2022-03-01,2023-03-31,Yes,Yes,Yes,,English,"Good (B1, B2)",And,Spanish,"Good (B1, B2)",,,,BRL,1544,Monthly,0,IAESTE Brazil,600,Monthly,800,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,,,2022-02-01 13:25:12,2022-02-04 09:56:21,3,"Microsoft Office (intermediate level),
knowledge about high voltage equipment applied to power substations and
asset/maintenance management (basic level), good ability to write technical reports (in
Spanish or Portuguese), skills like as productivity, self motivation, organization and
commitment.",after 30 days,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,"14.1001-Electrical and Electronics Engineering, 14.4801-Energy Systems Engineering, General."
CA-2022-000020,OPEN,COBE,2022-04-05,,Mosaic Veterinary Partners,Human Resources,"Suite 408, 612-500 Country Hills Blvd NE",,,T3K 5K3,Calgary,,Canada,www.mosaicvet.com,Multiple locations,Veterinarians,Cheri Johnston,Edmonton International,,55,40,8,No,,,,,"Supervise animal health technologists and animal care workers, Enforce government regulations in disease control and food production including animal or animal-based food inspection, Responsible for overall operation of animal hospital, clinic or mobile service to farms, Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests, Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery, Vaccinate animals to prevent and treat diseases, Advise clients on feeding, housing, behavior, breeding, hygiene and general care of animals, Perform routine, emergency and post-mortem examinations, Provide a range of veterinary services including obstetrics, dentistry and euthanasia",40,52,2022-05-01,2023-04-30,Yes,Yes,Yes,,English,"Excellent (C1, C2)",,,,,,,CAD,6000,Monthly,18%,Trainee,900,Monthly,1500,Monthly,,OTHER,,,,,"Nominees must be between 18 - 35 years of age and nationals from an IAESTE member country or from a country that has a Youth Mobility Agreement (MYA) with Canada.
Must have sat and passed the BCSE (Basic and Clinical Sciences Exam) and the NAVLE (North American Veterinary Licensing Exam) OR provide a certificate of qualification from CVMA/NEB (Canadian Veterinary Medical Association / National Examining Board). 
Multiple clinic practices available in rural northern areas of two western provinces of Alberta and Saskatchewan.",,2022-02-04 02:04:41,2022-02-04 02:04:42,4,Must have sat and passed the BCSE (Basic and Clinical Sciences Exam) and the NAVLE (North American Veterinary Licensing Exam).,bi-weekly,,OTHER,
CH-2022-000003,OPEN,COBE,2022-02-20,,Julien Dubois Architectes SA, -,Jacob-Brandt 18,,,2300,La Chaux-de-Fonds,,Switzerland,www.jd-architectes.ch,La Chaux-de-Fonds,Bureau d'architecte,,Geneva or Zurich,La Chaux-de-Fonds,14,42,8.4,No,,,,Good french is required for this placement.,"Collaboration in the development of competitions and projects 
CAD drawing, general and detailed plans for execution 
Elaboration of study models 
Work for small, medium and large projects 
Public and private clients",26,52,2022-05-01,2023-04-30,No,Yes,No,,French,"Good (B1, B2)",,,,,,,CHF,2000,Monthly,approx. 10 % Social security AHV/IV,Employer,750,Monthly,1600,Monthly,,04-ARCHITECTURE,,,,,"Students with any NON-EU/EFTA nationality need to provide an official letter from their university, confirming that the traineeship is compulsory (IAESTE Switzerland will apply for visa and work permit)",,2022-02-03 08:24:00,2022-02-03 08:24:01,3,Knowledge of drawing programs ArchiCad and/or REVIT BIM,,"Shared apartment, residence, studio - TBC",04-ARCHITECTURE,
CH-2022-000012,OPEN,COBE,2022-02-20,,ARTORG Center for Biomedical Engineering Research,Artificial Intelligence in Medical Imaging Laboratory,Murtenstrasse 50,,,3010,Bern,,Switzerland,http://www.artorg.unibe.ch/,Bern,Artificial Intelligence and Biomedical Engineering,,Zurich Airport,Bern,100,42.5,8.5,No,14,11.0101;14.0501,,,"The Artificial Intelligence in Medical Imaging (AIMI) laboratory is part of the ARTORG Center for Biomedical Engineering Research at the University of Bern. We conduct research towards novel medical methods in machine learning and medical imaging, in the domain of diagnosis and interventions. 

We are looking for young and extremely motivated computer scientists / engineers students interested in conducting research that covers fundamental technical as well as translational clinic aspects. We offer an stimulating work environment with international Flair (up to 180 researchers in the Center from around the world), access to clinical research, research activites with physicians and time to be spent in the OR. The AIMI group in particular is made of 20 international researchers of all levels.

Interns will be integrated into research teams that span theoretical aspects of machine learning (and deep learning) that are relevant to clinical applications, to more project specific research with direct impact into clinical routine. The intern will thus have options on what they work on, depending on a first-come-first-serve basis.",52,52,2022-06-01,2023-07-31,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,CHF,2000,Monthly,approx 10% social security AHF/IV,IAESTE LC Bern,750,Monthly,1600,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14-ENGINEERING",No,,No,,"All students need an official letter from their university, confirming that they are enrolled and the internship is compulsory (rule of employer).",,2022-02-01 09:21:59,2022-02-01 09:22:00,3.5,"Strong programming skills are mandatory for this internship. Python is mandatory (or C++/Java).
Experience with deep learning frameworks are a plus, also other experience with App development.",,"Depending on availability, room in a shared apartment or student dorm","11-COMPUTER AND INFORMATION SCIENCES, 14-ENGINEERING","11.0101-Computer and Information Sciences, General., 14.0501-Bioengineering and Biomedical Engineering."
CH-2022-000032,OPEN,AC,2022-03-15,,Bern University of Applied Sciences,,Jlcoweg 1,,,3400,Burgdorf,,Switzerland,https://i3s.bfh.ch,Burgdorf,Robotics & Automation,Norman Urs Baier,Zurich-Kloten,,5,42,8.4,Yes,,11.0102;14.4101;14.4201,,,"On our demonstrator built upon a B&R ACOPOStrak and hosting a UR5e, an application of the ACROBA-platform (http://acrobaproject.eu) shall be implemented. The sample process shall quantify the benefit of using the ACROBA-platform and identify open issues.",8,16,2022-04-01,2023-04-01,Yes,No,No,,German,"Good (B1, B2)",Or,English,"Good (B1, B2)",,,,CHF,2000,Monthly,approx 10 %,IAESTE LC Bern,750,Monthly,1600,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14C-ELECTRICAL AND ELECTRONICS ENGINEERING, 14D-MECHANICAL ENGINEERING",,,,,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, 
confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",,2022-01-22 15:28:07,2022-01-22 15:28:07,2,"Good knowledge of programming in C++, fascination for programming robots with robot operating system (ROS). Desire to contribute to the ""factory of the future"" and implementing plug & produce.",,"depends on availability, room in shared flat or student house","11-COMPUTER AND INFORMATION SCIENCES, 14C-ELECTRICAL AND ELECTRONICS ENGINEERING, 14D-MECHANICAL ENGINEERING","11.0102-Artificial Intelligence., 14.4101-Electromechanical Engineering., 14.4201-Mechatronics, Robotics, and Automation Engineering."
CH-2022-000067,OPEN,AC,2022-03-15,,Paul Scherrer Institut, -,Forschungsstrasse 111,,,5232,Villigen PSI,,Switzerland,www.psi.ch,5232 Villigen,Forschung,,Zurich,Brugg,2100,41,8.2,Yes,,,,A basic knowledge of the Swiss radiological protection regulations and/or programming experience would be an asset.,"Characterization of environmental monitoring radiation detection instruments

Operating particle accelerator facilities and nuclear installations can produce radioactive materials. Regulatory control requests that releases of materials to the environment are in compliance with legal limits. As a result, each of these locations is constantly surveyed by radiation detection instruments using scintillation or solid-state detectors. These detectors need to be reliably characterized. The section Expertise and Analytics of the PSI Department of Radiation Safety and Security seeks a student that supports within the process of characterizing these survey instruments at PSI.

Your Tasks:
The first step for the characterization of the available scintillation or solid-state detectors is the evaluation of the instruments energy dependent response for photon radiation and can be carried out by using Monte Carlo methods or measurements of well known radioactive sources. The student’s task will be to evaluate a suitable approach and to perform the necessary measurements or calculations. The evaluation of the acquired data is also included in the project. The focus of the work can be adapted to the student’s profile and preferences.",8,12,2022-05-01,2022-11-30,Yes,No,No,,English,"Good (B1, B2)",,,,,,,CHF,2100,Monthly,approx. 10 % Social security AHV/IV,Employer,900,Monthly,1750,Monthly,,"14A-ENGINEERING, Other, 40B-PHYSICS",,,,,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",,2022-01-22 09:37:28,2022-01-22 09:37:28,2,"Preferrable candidates with knowledge in detector physics, particle physics
and/or nuclear engineering.
Sound knowledge of at least one of the following fields: radiation induced activation, radiation detection techniques, material analysis methods, data acquisition and data treatment.",,Guest house,"14A-ENGINEERING, Other, 40B-PHYSICS",
CH-2022-000091,OPEN,COBE,2022-02-20,,Leclanche SA, -,Avenue des Sports 42,,,1400,Yverdon-les-Bains,,Switzerland,https://www.leclanche.com/,Yverdon-Les-Bains,Energy Storage Solutions,St�phanie Devanth�ry,Geneva,Yverdon-Les-Bains,170,40,8,No,,09.0100;52.1401;52.1801,,"Can be entry-level student, however previous training and experience required","With over a century of experience in battery research and manufacturing, Leclanché is ready to tackle the challenges of the transition to a carbon-free society. As the only European manufacturer of both power and energy lithium-ion battery cells, Leclanché provides the most effective energy storage solutions for electric vehicles, industrial, marine, grid and microgrid applications. Our world leading in-house technologies and ownership of the full value chain from electrochemistry to energy management software, make us unique and a partner of choice for customers who require smarter and faster energy storage solutions.
In order to support our Stationary Storage Solutions Business Unit and our Marketing departement, based in our offices in Yverdon-les-Bains, Switzerland, we are looking for a: Marcom - Trainee Internship scope: 
MarCom:  Web content management and new product market introduction: web-inquiry processing and dispatching, webinars organization support, social media management and communication, case studies and application notes, customer satisfaction survey deployment and management, Stationary BU tradeshows plan support (some travelling may be expected). 
Corporate Social Responsibility and Environmental-related topic: End of life battery recycling process at Leclanché: current state of the art review, communication strategy review and implementation of proper marcom initiative(s) such creation of a leaflet and/or case study.",24,32,2022-02-15,2022-10-15,No,Yes,No,,English,"Excellent (C1, C2)",Or,French,"Good (B1, B2)",,,,CHF,2800,Monthly,approx. 10 % Social security AHV/IV,IAESTE LC Lausanne,750,Monthly,1600,Monthly,0,"09-COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, 52-BUSINESS, MANAGEMENT, AND MARKETING",,,,," - Employer is looking for a start ASAP and selected IAESTE applicants will be submitted on an ongoing basis, we therefore recommend confirming your application quickly
- non-EU/EFTA nationals must include an enrollment certificate and an integral internship letter",,2022-02-03 10:58:28,2022-02-03 10:58:29,2,"Marketing and Communication student
French not compulsory but a plus",,"Shared flat, studio, etc. TBD","09-COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, 52-BUSINESS, MANAGEMENT, AND MARKETING","09.0100-Communication, General., 52.1401-Marketing/Marketing Management, General., 52.1801-Sales, Distribution, and Marketing Operations, General."
CH-2022-000209,OPEN,COBE,2022-02-09,,HEIG-VD,Institut for Information and Communication Technology,Rue de Galilée 15,,,,Yverdon-les-Bains,,Switzerland,http://www.stephan-robert.ch,Yverdon,Recherche,,Geneva,, -,41,8.2,Yes,27|40B,27.0101;27.0303;40.0810,,,"Knockoff feature selection for high-dimensional datasets using copulas

Knockoffs are features that are generated to ""look like"" the actual features but are conditionally independent of the label given by the actual features. The knockoff framework for feature selection is a recent breakthrough in statistics, which theoretically allows the identification of truly correlated features while ensuring that the false discovery rate is controlled. Fixed-X Knockoff and Model-X Knockoff feature selections provide good real-world results only if the conditional distribution of the response or the joint distribution of the original features are Gaussian. We would like to generate knockoff features that capture the joint distribution of all original features so that the original and knockoff counterparts are as decorrelated as possible. One idea is to use the copula method, which is a powerful tool for modeling the dependence structure; but in addition, we need to find a challenging idea to generate the marginal distributions such that, combined with the copulas, we get the knockoff features.  Our goal is to compare the power of the proposed method to state-of-the-art methods in the literature such as variational autoencoders.",22,26,2022-03-01,2022-08-31,Yes,No,No,,English,"Good (B1, B2)",,,,,,,CHF,2000,Monthly,10%,LC Lausanne,700,Monthly,1600,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 27-MATHEMATICS AND STATISTICS, 40B-PHYSICS",,,,,"Students with any NON-EU/EFTA nationality need to provide an official letter from their university, confirming that the traineeship is compulsory (IAESTE Switzerland will apply for visa and work permit). All candidates must provide an enrollment certificate demonstrating they will remain enrolled during the entire internship.
Internship dates are flexible, duration must however be minimum 5 months.",,2022-02-01 08:41:03,2022-02-01 08:41:03,4,"Looking for top students with great mathematics knowledge, excellent grades, ideally from a well known university.
Motivated student with a background in mathematics but with advanced data science skills. 
Good knowledge of deep neural networks and Python programming.",,to be defined depending on availablity,"11-COMPUTER AND INFORMATION SCIENCES, 27-MATHEMATICS AND STATISTICS, 40B-PHYSICS","27.0101-Mathematics, General., 27.0303-Computational Mathematics., 40.0810-Theoretical and Mathematical Physics."
CH-2022-000226,OPEN,COBE,2022-02-20,,CORPUS Architecture Urbanisme, -,la Voie-Creuse 14,,,1202,Geneva,,Switzerland,https://corpus.ch/fr,Geneva,Architecture,,Geneva,Geneva,35,42,8.4,No,04,,,B2 level in French is a MUST,"Participate to the main phases of an architectural project: - preliminary study - research project, pre-project, building permits - implementation, project execution",24,24,2022-04-01,2022-09-30,No,Yes,No,,French,"Good (B1, B2)",And,English,"Good (B1, B2)",,,,CHF,2000,Monthly,approx. 10 % Social security AHV/IV,IAESTE LC Lausanne,750,Monthly,1600,Monthly,,04-ARCHITECTURE,No,,No,,Only EU/EFTA nationality can apply. Student must be enrolled throughout the placement period and the internship must be an integral part of their studies (compulsory).,,2022-02-03 11:11:04,2022-02-03 11:11:06,3,"Archicad knowledge is required, at least Bachelor level, student needs to send portfolio as pdf also and must be enrolled during internship period.",,"Depends on availability: shared flat, hostfamily, student housing",04-ARCHITECTURE,
CH-2022-000240,OPEN,COBE,2022-02-06,,HHF Architects, -,Allschwilerstrasse 71 A,,,4055,Basel,,Switzerland,http://www.hhf.ch,Basel,Architecture,,Basel-Mulhouse,Basel SBB,20,42.5,8.5,No,04,04.0201,,Good German or French knowledge is of advantage,"The architecture office is based in Basel, Switzerland. 
The scope of work ranges from large scale construction, to interior design, to master planning to public structures.

Kind of work during the training period:
Office
- general office tasks, customer care library 
- archiving and documentation projects 
- Physical model building, model building 3D, design planning, diagrams, layout of booklets and plans; responsibility depending on knowledge / skills


Accommodation should be arranged by student with assistance from the company.",24,52,2022-03-01,2023-05-31,No,Yes,No,,English,"Good (B1, B2)",And,German,"Good (B1, B2)",,,,CHF,2200,Monthly,approx. 10 % Social security AHV/IV,Student,750,Monthly,1600,Monthly,,04-ARCHITECTURE,No,,No,,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",,2022-01-20 10:41:32,2022-02-01 17:18:54,2,"Good knowledge of CAD-Software preferably Vectorworks and good architectural rendering skills
Good knowledge of Rhino needed for present project",,Depends on availability,04-ARCHITECTURE,04.0201-Architecture.
CH-2022-000250,OPEN,COBE,2022-03-01,,Hombrechtikon Systems Engineering AG, -,Garstligweg 6,,,8634,Hombrechtikon,,Switzerland,www.hseag.com,Hombrechtikon,Laboratory Automation for Life Science / Diagnostics,Andrea Weber,Zurich,Feldbach,53,42,8.4,Yes,,,,Hands-on type with good practical skills,"The company specializes in developing life science and diagnostics devices which aim to revolutionize biotechnology research and industry. With over 20 years of experience in laboratory automation, they are among the world's leading companies to support customers at the interface of systems engineering and in vitro applications.   

Industrial Internship in Electronic Engineering  

Located in Hombrechtikon/Switzerland and based within our Product Development Department, you will be onboarded to a fascinating and challenging project for international customer. You work closely with the interdisciplinary project team during the feasibility phase for a revolutionizing laboratory device.  

Tasks: 
-Development of electronic circuits 
-Evaluating of components 
-PCB CAD 
-Drawings of electronic cabling for peripheral components
-Ordering parts and components 
-Physical prototype assembly 
-Functional testing and measurements of prototypes and result conclusion 
-Reporting and close collaboration with Lead Electronic Engineer 
-Active participation on technical reviews with the project team

We offer an interdisciplinary environment characterized by a respectful and dynamic team spirit. We support each other in finding the best solutions that lead to creative approaches and exciting innovations. Our open culture enables individuals to get actively involved with shaping the future of our international business.",26,26,2022-01-03,2022-09-30,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,CHF,2500,Monthly,approx. 10 % Social security AHV/IV,IAESTE LC Zurich,750,Monthly,1600,Monthly,0,"14C-ELECTRICAL AND ELECTRONICS ENGINEERING, OTHER",,,,,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, 
confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",,2022-01-22 07:08:41,2022-02-01 18:13:00,2,"studies in electronic engineering
Knowledge in CAD (preferably Altium",,depends on availability,"14C-ELECTRICAL AND ELECTRONICS ENGINEERING, OTHER",
CH-2022-000251,OPEN,COBE,2022-03-01,,Hitachi ABB Power Grids Switzerland Ltd,Power Grids Research,Segelhofstrasse 1A,,,5405,Baden-Dättwil,,Switzerland,,Baden,Power Grids Research,,Zurich,,6800,40,8,Yes,14|40,14.1001;14.1201|40.0801,," - Fluent in written and spoken English
- Capable of working independently","Gas circuit breakers are key components of electric energy transmission system and secure their reliable operation. Two groups work together towards an understanding of the complex physics of gas circuit breakers. They design and perform lab experiments and develop numerical simulation tools.   
Tasks: 
- design and set up experimental devices for thigh voltage (above 100 kV) and high power tests 
- under the supervision of scientists, you will thave the possibility to perform experiments 
- evaluate and interpret experimental results 
- execute field calculations for gas circuit breakers (flow, dielectric, multi-physics)  
- collaboration with scientists  and engineers from business units and universities",26,52,2022-04-01,2023-05-01,Yes,No,No,,English,"Good (B1, B2)",,,,,,,CHF,2500,Monthly,approx. 10 % Social security AHV/IV,Employer,1090,Monthly,1740,Monthly,,14-ENGINEERING,No,,No,,Only EU/EFTA passport holders,,2022-02-01 15:45:00,2022-02-01 15:45:01,2.5," - Experience in laboratory work and knowhow in high-voltage experimental techniques advantageous 
- Proficiency with MATLAB, ANSYS package, Pro/ENGINEER and LabVIEW a plus  
- Student must be end Bachelor, in break before Master or Master student
- Previous practical training required",around 25th of each month,,14-ENGINEERING,"14.1001-Electrical and Electronics Engineering, 14.1201-Engineering Physics/Applied Physics."
DE-2022-1000-7,OPEN,FCFS,2022-02-15,,Bundesanstalt für Materialforschung und -pruefung (BAM),,Unter den Eichen 87,,,12205,Berlin,,Germany,www.bam.de,Berlin,"research, assessment and consultation in technology and chemistry (energy, infrastructure, environment, materials, analytical Sciences)",Jana Tweer,BER (Berlin-Brandenburg),,1600,39,7.5,Yes,,11.0201;14.0801;14.3901;14.4201,,"Interest in NDT in civil engineering, willing/able to work in the lab and outdoor, Interview required","Devision 8.2 / involved in the development and test of new ultrasonic devices and data processing/imaging  methods for non-destructive testing of concrete; this will include work in the lab and our open air test site, but eventually also construction sites",8,12,2022-04-01,2022-06-30,Yes,No,No,,English,"Excellent (C1, C2)",And,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,Trainee,550,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14B-CIVIL ENGINEERING, GEOLOGY AND MINING, 14D-MECHANICAL ENGINEERING",2022-08-01,2022-10-31,,,see additional documents,,2022-01-28 10:57:36,2022-01-28 10:57:37,2,"Basic civil engineering knowledge, experience with electronic measurement devices, 
Programming: basic knowledge in at least one programming language (Python preferred)",end of first month,,"11-COMPUTER AND INFORMATION SCIENCES, 14B-CIVIL ENGINEERING, GEOLOGY AND MINING, 14D-MECHANICAL ENGINEERING","11.0201-Computer Programming/Programmer, General., 14.0801-Civil Engineering, General., 14.3901-Geological/Geophysical Engineering., 14.4201-Mechatronics, Robotics, and Automation Engineering."
DE-2022-1006-2,OPEN,FCFS,2022-03-15,,Technische Universität München,Mechanical Engineering,"Boltzmannstraße 15, Garching",,,85748,München,,Germany,,"Technische Universität München, Garching",University,Leonhard Hitzler,Franz Josef Strauss (MUC),,21,40,8,Yes,14A,11.0102;14.0901;14.0902;14.0903;14.1801,,,"You will work in a young and motivated research group which covers the aspects of metal additive manufacturing, parts design, material testing and numerical modelling. 

Often projects involve some programming for specialised testing or own-built prototypes, thus programming skills, such as app programming in Android Studio, Framework: Flutter, or Python programming are required. Also experiences in the realm of destructive and non-destructive material testing are beneficial.",12,12,2022-01-01,2022-03-31,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other, 40D-MATERIAL SCIENCES AND ENGINEERING",No,,No,,see additional documents,,2021-11-16 13:32:49,2022-01-09 15:17:16,3,"Skilled in a 3D CAD program
Programming skills in C/C++ and/or Python

optional:
- preliminary knowledge in Additive Manufacturing
- experience in material testing
- experience in image based artificial intelligence",end of month,Info will be handed in later,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other, 40D-MATERIAL SCIENCES AND ENGINEERING","11.0102-Artificial Intelligence., 14.0901-Computer Engineering, General., 14.0902-Computer Hardware Engineering., 14.0903-Computer Software Engineering., 14.1801-Materials Engineering."
DE-2022-1006-4,OPEN,FCFS,2022-02-15,,Technische Universität München,Mechanical Engineering,"Boltzmannstraße 15, Garching",,,85748,München,,Germany,,"Technische Universität München, Garching",University,Leonhard Hitzler,Franz Josef Strauss (MUC),,21,40,8,Yes,14A,11.0102;14.0901;14.0902;14.0903;14.1801,,,"You will work in a young and motivated research group which covers the aspects of metal additive manufacturing, parts design, material testing and numerical modelling. 

Often projects involve some programming for specialised testing or own-built prototypes, thus programming skills, such as app programming in Android Studio, Framework: Flutter, or Python programming are required. Also experiences in the realm of destructive and non-destructive material testing are beneficial.",12,12,2022-04-01,2022-06-30,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other, 40D-MATERIAL SCIENCES AND ENGINEERING",No,,No,,see additional documents,,2022-02-03 14:21:47,2022-02-03 14:21:47,3,"Skilled in a 3D CAD program
Programming skills in C/C++ and/or Python

optional:
- preliminary knowledge in Additive Manufacturing
- experience in material testing
- experience in image based artificial intelligence",end of month,Info will be handed in later,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other, 40D-MATERIAL SCIENCES AND ENGINEERING","11.0102-Artificial Intelligence., 14.0901-Computer Engineering, General., 14.0902-Computer Hardware Engineering., 14.0903-Computer Software Engineering., 14.1801-Materials Engineering."
DE-2022-1006-5,OPEN,FCFS,2022-02-15,,Technische Universität München,Mechanical Engineering,"Boltzmannstraße 15, Garching",,,85748,München,,Germany,,"Technische Universität München, Garching",University,Leonhard Hitzler,Franz Josef Strauss (MUC),,21,40,8,Yes,14A,11.0102;14.0901;14.0902;14.0903;14.1801,,,"You will work in a young and motivated research group which covers the aspects of metal additive manufacturing, parts design, material testing and numerical modelling. 

Often projects involve some programming for specialised testing or own-built prototypes, thus programming skills, such as app programming in Android Studio, Framework: Flutter, or Python programming are required. Also experiences in the realm of destructive and non-destructive material testing are beneficial.",12,12,2022-04-01,2022-06-30,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other, 40D-MATERIAL SCIENCES AND ENGINEERING",No,,No,,see additional documents,,2022-02-03 14:14:43,2022-02-03 14:14:43,3,"Skilled in a 3D CAD program
Programming skills in C/C++ and/or Python

optional:
- preliminary knowledge in Additive Manufacturing
- experience in material testing
- experience in image based artificial intelligence",end of month,Info will be handed in later,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other, 40D-MATERIAL SCIENCES AND ENGINEERING","11.0102-Artificial Intelligence., 14.0901-Computer Engineering, General., 14.0902-Computer Hardware Engineering., 14.0903-Computer Software Engineering., 14.1801-Materials Engineering."
DE-2022-1007-12,OPEN,FCFS,2022-03-15,,TU Dresden,"Elektrotechnischs Institut, Chair Electrical machines and Drives",Helmholtzstr. 9,,,01069,Dresden,,Germany,https://tu-dresden.de/ing/elektrotechnik/eti/ema,Dresden,education,Wilfried Hofmann,Dresden,,N/A,40,8,Yes,14C,14.1001,,Good English and basic German knowledge is a must. Good German knowledge is desired.,"Design of electrical machines. Control of ac-drives. Power electronics: inverter technologies. Renewable energy: wind power plant. Magnetic bearing  and Motion Control. Circuit Design. CAD construction. Software Design.
",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,Fair (A2),,,,EUR,861,Monthly,variable,IAESTE LC Dresden,400,Monthly,861,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,No,,2022-12-16,2023-01-05,see additional documents,,2022-02-03 14:33:11,2022-02-03 14:33:12,4,Student must have practical experiences.,end of month,info will be handed in later,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,14.1001-Electrical and Electronics Engineering
DE-2022-1007-4,OPEN,FCFS,2022-03-15,,TU Dresden,"Elektrotechnischs Institut, Chair Electrical machines and Drives",Helmholtzstr. 9,,,01069,Dresden,,Germany,https://tu-dresden.de/ing/elektrotechnik/eti/ema,Dresden,education,Wilfried Hofmann,Dresden,,N/A,40,8,Yes,14C,14.1001,,Good English and basic German knowledge is a must. Good German knowledge is desired.,"Design of electrical machines. Control of ac-drives. Power electronics: inverter technologies. Renewable energy: wind power plant. Magnetic bearing  and Motion Control. Circuit Design. CAD construction. Software Design.
",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,Fair (A2),,,,EUR,861,Monthly,variable,IAESTE LC Dresden,400,Monthly,861,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,No,,2022-12-16,2023-01-05,see additional documents,,2022-02-03 14:23:44,2022-02-03 14:23:45,4,Student must have practical experiences.,end of month,info will be handed in later,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,14.1001-Electrical and Electronics Engineering
